time,epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,learning_rate
20240912_1755,1,5.448508174403678,0.06921171233664049,4.260953373921192,0.1679,0.01
20240912_1817,2,3.9862403320697646,0.2064475723498797,3.6630367763207086,0.25168,0.01
20240912_1838,3,3.6146227432349685,0.26133874528799234,3.4098383002268995,0.29298,0.01
20240912_1901,4,3.4462582847299097,0.2879796734593568,3.258157369120956,0.3207,0.01
20240912_1922,5,3.3553206236939452,0.302707694990903,3.26660529975696,0.3203,0.01
20240912_1944,6,3.2995461167568245,0.31204331677772007,3.1996242268311095,0.33358,0.01
20240912_2006,7,3.2608534656400794,0.31799778818063984,3.1737762698736947,0.33392,0.01
20240912_2028,8,3.229930191388413,0.3230984497445309,3.1957808681156323,0.3355,0.01
20240912_2049,9,3.207316897981122,0.32742616368256033,3.1199485030015714,0.34418,0.01
20240912_2111,10,3.1874184645716155,0.33120290469753966,3.142087401026655,0.34036,0.01
20240912_2133,11,3.1694508591743364,0.3334464347295278,3.039494005920332,0.35822,0.01
20240912_2155,12,3.1563670645626227,0.3359151105315105,3.117091378287586,0.3456,0.01
20240912_2216,13,3.142358939264221,0.33803576171015653,3.0831836715073844,0.35588,0.01
20240912_2238,14,3.127562963412172,0.34039741399471224,3.1096752586267185,0.34702,0.01
20240912_2300,15,3.120223241720872,0.3420043522897087,3.0348695324509953,0.3595,0.01
20240912_2322,16,3.1126773151995746,0.3428082178206048,3.06606467727505,0.35718,0.01
20240912_2344,17,3.1038131220820953,0.3444611365897551,3.017848657525104,0.36058,0.01
20240913_0006,18,3.095832719517383,0.3454853912898712,3.0636946350107412,0.3566,0.01
20240913_0028,19,3.084792024940479,0.3470225661068412,3.0121354367726902,0.36482,0.01
20240913_0050,20,3.0782912864472163,0.34792473472041097,3.012574785505719,0.36536,0.01
20240913_0111,21,3.0764702992170734,0.3488372093023256,2.9791870367191637,0.36812,0.01
20240913_0133,22,3.072575716486079,0.3498027992595558,2.9609849471265397,0.37226,0.01
