epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,learning_rate
1,3.724960980936885,0.055938720703125,3.229965591430664,0.04,0.01
2,3.207152996212244,0.0601806640625,3.2352911472320556,0.04,0.01
3,3.177287846803665,0.06719970703125,3.0798179626464846,0.076,0.01
4,2.983196910470724,0.103546142578125,2.9180458068847654,0.1136,0.01
5,2.8812858387827873,0.13482666015625,2.7238141536712646,0.172,0.01
6,2.6649129036813974,0.20074462890625,2.579572248458862,0.2312,0.01
7,2.4964703544974327,0.26287841796875,2.524164819717407,0.2792,0.01
8,2.357172654941678,0.303924560546875,2.2771607875823974,0.3352,0.01
9,2.2417816016823053,0.340240478515625,2.157978057861328,0.3672,0.01
10,2.1485183322802186,0.361358642578125,2.1207937479019163,0.3824,0.01
11,2.0049641132354736,0.4024658203125,1.9629971265792847,0.4288,0.01
12,1.9311079997569323,0.42437744140625,1.930157971382141,0.4424,0.01
13,1.8322872994467616,0.452545166015625,1.8710888862609862,0.452,0.01
14,1.7509712828323245,0.47760009765625,1.8594774007797241,0.468,0.01
15,1.6884424043819308,0.495697021484375,1.7704527378082275,0.4968,0.01
16,1.629662829451263,0.515106201171875,1.6976238489151,0.4984,0.01
17,1.5395541079342365,0.54193115234375,1.5909087657928467,0.5304,0.01
18,1.4691316755488515,0.559173583984375,1.5850332736968995,0.5384,0.01
19,1.4280115589499474,0.57464599609375,1.5677227973937988,0.544,0.01
20,1.3651277413591743,0.59112548828125,1.5143144845962524,0.548,0.01
21,1.3043655818328261,0.6044921875,1.5238479137420655,0.576,0.01
22,1.271142584271729,0.61846923828125,1.4728324651718139,0.5752,0.01
23,1.2036083894781768,0.63739013671875,1.4797878503799438,0.592,0.01
24,1.1616151467896998,0.64752197265625,1.514387345314026,0.5792,0.01
25,1.0923001472838223,0.66619873046875,1.4501195907592774,0.6,0.01
26,1.0564523194916546,0.677978515625,1.4514037132263184,0.5904,0.01
27,1.0171188195236027,0.685882568359375,1.5528149366378785,0.592,0.01
28,0.9815133851952851,0.699432373046875,1.4045775651931762,0.5984,0.01
29,0.9167327433824539,0.717987060546875,1.5302545785903932,0.5848,0.01
30,0.8756779660470784,0.731170654296875,1.534446382522583,0.596,0.01
31,0.8320586420595646,0.74188232421875,1.6104664564132691,0.592,0.01
32,0.7876343820244074,0.7547607421875,1.5509942054748536,0.6096,0.01
33,0.747280384413898,0.7630615234375,1.573795461654663,0.6024,0.01
34,0.7058589183725417,0.77703857421875,1.6150481700897217,0.5824,0.01
35,0.6943149822764099,0.78045654296875,1.698476219177246,0.5888,0.01
36,0.6196329863741994,0.805328369140625,1.60167498588562,0.6104,0.01
37,0.6068798271007836,0.8057861328125,1.8089307069778442,0.584,0.01
38,0.564604889601469,0.81622314453125,1.816686177253723,0.5848,0.01
39,0.5038094182964414,0.83721923828125,1.9065080404281616,0.5752,0.01
40,0.4948709630407393,0.839447021484375,1.9557305335998536,0.5864,0.01
41,0.4710419538896531,0.84619140625,1.7742060661315917,0.6016,0.01
42,0.4539287476800382,0.853485107421875,1.9469489574432373,0.5888,0.01
43,0.448917128611356,0.85504150390625,1.9122178077697753,0.5872,0.001
44,0.21795810962794349,0.934539794921875,1.775985598564148,0.6288,0.001
45,0.15376339590875432,0.9554443359375,1.8246592044830323,0.632,0.001
46,0.128426595532801,0.962615966796875,1.846584677696228,0.64,0.001
47,0.11642878924612887,0.968109130859375,1.8645625591278077,0.6352,0.001
48,0.10682194549008273,0.9703369140625,1.9246656894683838,0.6384,0.001
49,0.09555601896136068,0.974517822265625,1.9295758724212646,0.6416,0.001
50,0.0900442155834753,0.975006103515625,1.944835090637207,0.64,0.001
51,0.08675574220251292,0.976806640625,1.9653799533843994,0.6328,0.001
52,0.07694457977777347,0.979705810546875,1.9974298000335693,0.624,0.001
53,0.07192022760864347,0.9810791015625,1.994469976425171,0.6328,0.001
54,0.07003207628440578,0.981201171875,2.0209733963012697,0.6288,0.001
55,0.06319676867860835,0.98382568359375,2.0648337602615356,0.6344,0.001
56,0.062108264333801344,0.983367919921875,2.077162981033325,0.6328,0.001
57,0.05722471034096088,0.985107421875,2.0843850135803224,0.6344,0.001
58,0.05407010829367209,0.98583984375,2.125405216217041,0.6264,0.0001
59,0.050027011675410904,0.98736572265625,2.096623754501343,0.6288,0.0001
60,0.051716552770812996,0.98687744140625,2.1086404085159303,0.6288,0.0001
61,0.04915557644562796,0.98797607421875,2.09541916847229,0.6288,0.0001
62,0.048852174149942584,0.988311767578125,2.0955984115600588,0.6312,0.0001
63,0.05049547787348274,0.987518310546875,2.0992473363876343,0.6288,0.0001
64,0.04862086025241297,0.98785400390625,2.0925486087799072,0.6288,0.0001
65,0.04732889715523925,0.98760986328125,2.1001551389694213,0.628,0.0001
66,0.047259604587452486,0.988616943359375,2.10918242931366,0.6304,0.0001
67,0.04755479862797074,0.9881591796875,2.101845121383667,0.6304,0.0001
68,0.04659139079740271,0.988983154296875,2.1028905630111696,0.6312,0.0001
69,0.04722951157600619,0.988433837890625,2.110490393638611,0.628,0.0001
70,0.0467610944469925,0.98858642578125,2.107290816307068,0.6312,0.0001
71,0.045282185907126404,0.9896240234375,2.112166476249695,0.6264,0.0001
72,0.04524510106421076,0.98907470703125,2.105012083053589,0.6312,0.0001
73,0.0451316636899719,0.988861083984375,2.115395426750183,0.6328,1e-05
74,0.04510312114143744,0.9892578125,2.115538215637207,0.6344,1e-05
75,0.04652116536453832,0.9884033203125,2.1113955974578857,0.6344,1e-05
